Ref,Val,Package,PosX,PosY,Rot,Side
BOOT,SW_TL3305AF260QG,SW_TL3305AF260QG,35.464,43.18,0,top
C1,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,44.3,16.435999,90,top
C2,10uF,CAPC3216X110N,46.8,16.863999,90,top
C3,4n7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,82.9465,19.83,0,top
C4,10uF,CAPC3216X110N,31.72,21.648001,-90,top
C5,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,34.22,22.076001,-90,top
C6,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,78.468,4.647,90,top
C7,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,67.072,22.542,180,top
C8,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,71.746,16.58,0,top
C9,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.542,16.256,-90,top
C10,4.7uF,CAPC3216X110N,72.136,18.796,0,top
C11,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.524,19.12,90,top
C12,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,13.795,4.658,-90,top
C13,100pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,13.859,13.249,90,top
C14,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,22.098,8.382,-90,top
C15,10uF,CAPC3216X110N,1.987,38.17,90,top
C16,1uF,CAPC3216X110N,24.557998,7.954,-90,top
C17,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4.487,37.742,90,top
C18,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,35.306,37.084,0,top
C19,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.18775,39.1265,180,top
C20,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,29.21,37.084,0,top
C21,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.824,37.632,180,top
C22,10uF,CAPC3216X110N,52.324,40.132,180,top
D1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,29.22,22.106001,90,top
D2,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,69.088,5.588,-90,top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,65.088,5.608,-90,top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,51.156,2.62,-90,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,55.524,2.62,-90,top
